patch,area_km2,length_m,width_m,pixel_count,px_width_m,px_height_m,lat_min,lat_max,lon_min,lon_max
patch_001,10.604942764545292,6181.503924812134,4826.832805539426,11708,29.54667174156281,30.656110154906045,45.2936,45.4536,-121.846,-121.546
patch_002,4.450704611901652,4427.071641460776,2645.7824313491847,4909,29.57458720683288,30.656110154906045,44.5943,44.7543,-121.9495,-121.6495
patch_003,5.700344384345843,9752.118263825163,3093.0819354635764,6284,29.59019791215598,30.65611015490468,44.0557,44.2157,-121.9228,-121.6228
patch_004,2.887635259854883,16718.126470799303,5720.088038033813,3186,29.565111199273804,30.65611015490468,43.96,44.12,-121.82,-121.52
