patch,area_km2,length_m,width_m,pixel_count,px_width_m,px_height_m,lat_min,lat_max,lon_min,lon_max
patch_001,17.68728368323163,7349.031535065389,5960.932666111803,19527,29.54667174156281,30.656110154906045,45.2936,45.4536,-121.846,-121.546
patch_002,11.372914779322535,11226.59881456727,4214.639482033433,12544,29.57458720683288,30.656110154906045,44.5943,44.7543,-121.9495,-121.6495
patch_003,20.410208250760896,15915.115281638895,8226.910029301911,22500,29.59019791215598,30.65611015490468,44.0557,44.2157,-121.9228,-121.6228
patch_004,13.43121999867844,17537.16970632645,13536.687150775368,14819,29.565111199273804,30.65611015490468,43.96,44.12,-121.82,-121.52
