patch,area_km2,length_m,width_m,pixel_count,px_width_m,px_height_m,lat_min,lat_max,lon_min,lon_max
patch_001,6.086882078727739,4606.297983923577,3927.5428255583925,6720,29.54667174156281,30.656110154906045,45.2936,45.4536,-121.846,-121.546
patch_002,2.748937947297985,3455.153759829499,1854.5869858815008,3032,29.57458720683288,30.656110154906045,44.5943,44.7543,-121.9495,-121.6495
patch_003,4.860350924781194,8828.851402948032,2321.8416971714187,5358,29.59019791215598,30.65611015490468,44.0557,44.2157,-121.9228,-121.6228
patch_004,2.6837062160798206,17206.84346366752,4924.33725374928,2961,29.565111199273804,30.65611015490468,43.96,44.12,-121.82,-121.52
