patch,area_km2,length_m,width_m,pixel_count,px_width_m,px_height_m,lat_min,lat_max,lon_min,lon_max
patch_001,16.494363490123828,7478.251377126373,5205.240874749388,18210,29.54667174156281,30.656110154906045,45.2936,45.4536,-121.846,-121.546
patch_002,12.23513113416435,11154.971486174458,3916.8035168604847,13495,29.57458720683288,30.656110154906045,44.5943,44.7543,-121.9495,-121.6495
patch_003,21.181260562456306,15484.687330209701,8338.390764092026,23350,29.59019791215598,30.65611015490468,44.0557,44.2157,-121.9228,-121.6228
patch_004,16.05057527205591,18988.174672775247,10112.793941716149,17709,29.565111199273804,30.65611015490468,43.96,44.12,-121.82,-121.52
